id,hover_description
3686,Vita's Hideaway
3943,Historic Rowhouse Near Monuments
4197,Capitol Hill Bedroom walk to Metro
4529,Bertina's  House Part One
5589,Cozy apt in Adams Morgan
6165,Private Bath & Laundry  + Huge Lower Level Suite
7103,Lovely guest suite in a quiet but close-in neighborhood
11785,Sanctuary near Cathedral
12442,Peaches & Cream near Cathedral
14218,Quiet Comfort near Nat'l Cathedral
17131,The Loft near National Cathedral
27682,Private 1-bed apartment-Walk to MET
32087,B&B Charm - Room 301 | Walk Dupont Circle Metro
52092,People's Place 2- Convention Center
62122,"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY"
93551,Upscale Master Close to Everything
116951,Upscale Private Close to Everything
153545,Guest Room 3 miles to the White House
155859,~Upper North West GuestNest DC
164069,Master en-suite in historical house near monuments
174808,Historic American Four Square
178395,"Spare Room for Washington,DC Visit or entire house"
196429,"Takoma Garden apt-Lush yard,pets ok"
198685,Private room in central location.
201116,Victorian Haven - Private Basement!
223203,ROOM FOR RENT IN A NICE AREA OF DC
223922,Private Retreat Apt. in DC. Pets are Welcome Free!
251611,LUXURY LIVING AT A BARGAIN
251615,NICE HOUSE IN A VERY NICE NEIGHBORHOOD
251619,LUXURY LIVING AT A BARGAIN
262629,Guest bedroom and private bath.
296196,Charming Dupont English Basement
299030,Red Room - Washington 1-2/p Bedroom near Metro
303723,"Modern Private English Unit, Great Location"
306465,"Spacious Dupont Circle Apt: Walk to Metro, Shops!"
313405,Blue Room - Washington 1-2p Bedroom Near Metro
339208,METRO ACCESSIBLE TWO BEDROOM APT
355527,Steps for US Capitol .. Library of Congress
409582,Capitol Hill studio apartment (Eastern Market)
437005,"The Buddha behind the ""Blue Door"""
453159,1 block to metro-Capitol Hill Garden flat
453315,Efficiency suite in Capitol Hill
501809,Upstair Private Close to Everything
525672,FREE Parking|SLPS 4|METRO 2 blks|Capitol Hill
542144,Ground floor apartment by Eastern Market metro
556729,Large sunny BR close to downtown
561697,Spacious Downtown DC Apartment
563607,Stylish Studio in Dupont Circle with Washer/Dryer
654835,Georgetown's Chateau Bleu - Prv Rm2
660514,"Master Suite- Private Deck, Whirlpool bath"
660537,Southern Suite
688914,Master BR and Bath in Sunny TH
723716,Apartment near Rock Creek Park
748316,Cozy Cabin in the City on Cap Hill
763569,Romantic Studio in Perfect Location
792578,Lovely Comfortable Home w/FREE PARKING
800076,Walkers Paradise  with Private Patio
808830,Cozy comfort and convenience in DC
815855,People's Place 3 - Convention Center
828497,"Private floor with 3BR/2BA, free pkg, Metro"
841260,Metro Style Living in Washington DC
842418,Luxury Penthouse in the heart of DC!
860336,Luxury Spacious Master Suite RoofDeck in DuPont
860776,Gorgeous cozy room available in the heart of DC
861775,Private BR Shared Bath Sunny TH - B
886283,Tenleytown/AU Park Basement Apt.
887461,Cozy room right next to the petworth metro station
888029,PERFECT ROOM FOR INTERNS OR STUDENTS
893529,Chic and in the City Room
898543,welcome to foggy bottom - on metro!
898544,welcome to the heart of washington
902573,Primo Live-In Office Near Downtown
925318,Basement Studio
945426,1BR Suite in the Heart of Things
1026034,Perfect studio in VERY central DC
1092713,Heart DuPont - Deluxe 1BR/1BA/Kitchen/Opt Parking
1112617,Skylit Studio in Adams Morgan
1177438,1890s Rowhouse @ Union Inn
1205516,02. Small furnished room in Washington
1245292,Railroad Retirement w/Private Bath in Chevy Chase!
1336217,"Brand New, Full APT Near Georgetown w Free Parking"
1472332,★Free Parking . Queen Bed Comfy With Patio ★
1484387,"Master BR (free parking), Columbia Heights"
1488282,"Chic Oasis ♥ Clean, Close to Metro"
1537822,Park View Apt: kitchen | wifi | garden
1571112,"Surprisingly Sunny, Arty Apartment"
1628328,Private row house apartment nestled in Shaw
1641184,Peaceful Oasis Near U St/Dupont; Private Bedroom
1667080,Private & Comfortable NoMa Studio
1688139,Super Sunny Studio AdMo
1789722,Top Listing! Large 1BR Zen Boutique
1806338,Exceptionally large and bright  bedroom
1813962,DC-Logan Circle/14th St - Large 1BD
1821276,Samurai themed room next to metro
1824864,Gracie's Place on Capitol Hill
1825234,Cozy 1BR 1BA Westend gym pool
1838623,Furnished Private Room South of Takoma D.C.
1841397,Furnished Large Private Room S. of Takoma D.C.
1860120,Pet Friendly Private BSMT w/Parking & Backyard
1865861,House near downtown DC
1901631,2BR/1BA Guest Suite - Union Station
1936134,Modern DC Northwest Apartment with Parking Spot
1997483,Top Two Floors - Vet Owned - 3 blocks to Capitol
2060129,3 blocks to Capitol - Great Neighborhood- Gorgeous
2098615,Cozy Pied-à-Terre @ Union Inn
2111965,Large bedroom in Cozy brick house
2115421,"Nice room for rent on 18th st, few mins to Dupont"
2141766,Stylish suite in DC
2198232,Secure Deluxe Room
2241400,"Modern, central studio with it all!"
2263350,Renovated Condo in the Heart of DuPont Circle- 2 blks to Metro
2277705,Charming Lincoln Park Apartment!
2285431,Beautiful Sunny Primary Bedroom Suite w/ Balcony
2304761,Lovely private room close to Dupont circle
2318183,Guest Suite in Columbia Heights-Noel's Place
2343987,Bedroom in Capitol Hill row-house
2361802,Historic Home steps from Capitol
2365726,One Bedroom for Rent in Rowhouse
2466942,Cozy Colonial N Convenient Location
2476761,Blazing WIFI 3 blocks to Capitol Gorgeous E Cap St
2477325,Bedroom in NW DC
2477330,Cool small bedroom: most cntrl part of DC
2479145,Sunny Studio in elegant area of DC
2483191,Private room with single bed for solo guest
2501387,Elegant B&B in Washington DC
2501531,"Great Downtown Location, Fun Hosts+Daily Breakfast"
2523708,Night Sky room next to Metro
2538828,Chez ChEllers
2547672,Cozy room in NW Washington
2657916,Nice cozy room next to the petworth Metro
2694647,Sundrenched 1BR Dupont Circle
2791050,"Capitol Hill elegant, charming room"
2874685,New studio/carriage house w/parking
2964999,Dupont Adams Morgan Townhouse Long term
3103276,Attractive 2 Twin Beds Near Capitol
3119991,Charming English Basement w/ parking
3136813,Best location! — cute 1BR downtown — Logan Circle
3175218,The Urban Sanctuary - Professionally Cleaned!
3199232,Capitol Hill Boutique Stay feat. Washington Post
3201115,"Comfy 1 br apt near H St, Gallaudet & Union Market"
3237702,"Modern urban oasis: nr Metro+free Prkg, master bd"
3317645,Capitol Hill luxury English basment
3544432,"Sunny ground floor Apt-pet friendly, free parking"
3601131,Beautiful Upper Level 1BR in Downtown DC
3604624,Charming furnished studio - metro
3627430,Charming English Bsmt Apt- 2 bedroom
3633359,Comfortable Studio Apartment
3635540,Capitol Hill family friendly for 4 w/ treehouse
3637629,"Cozy Base w/Family by Union Station, Private Bath"
3651862,Charming Studio Apartment
3674676,Calm Here- 1 Bedroom and Bathroom
3760995,Cozy room 20 seconds walk to the Petworth metro.
3761001,Lovely Room next to the petworth Metro station
3767679,Top Rated DC airbnb
3810218,1 BR Zen Penthouse
3821808,Private Bed & Bath - All Inclusive
3821950,Ideal Double Occupancy Room
3822015,Open Style Shared 3 Walls & Divider
3822053,Beautiful Super Large Bedroom
3822134,Charming Private Room w/ Queen Bed
3851703,Newly renovated attic bedroom
3861766,Patio with Wonderful Apartment!
3897112,New apartment in historic row home
3898306,"Large Apt in Historic Home, Central, Convention Ct"
3907276,Quiet Block in the Middle of It All - Patio! 🔔
3912498,"Outdoor paradise, FREE Prking, metro, Capital Hill"
3964658,Garden Suite Efficiency
3996972,Upscale Area + Kalorama + Balcony +Driveway Optn!
4022565,Dupont Circle Townhouse 3
4024085,"Sunny, Airy Room at Dawn's House"
4025236,Large sunny room at Dawn's House
4025438,Sunny Room at Dawn's House
4054129,"Spacious, bright Petworth 1BR, off-street parking"
4055607,Capitol Hill 2-BD/1.5-BA - Prime location!
4083095,Cozy Apt one bedroom Street level in Dupont Circle
4085972,Private Home near Howard! Parking + Washer/Dryer!
4204367,The best room for a solo traveller!
4218583,Dupont Circle Townhouse 2
4231934,06. Just the perfect room in SW DC
4244705,Front Suite(1BD/1BA) *Convention Center/DT/Metro
4284144,Dupont 1BR. Spacious & Stylish.
4286181,Private BR Shared Bath Sunny TH - A
4325533,1 BD apartment in Georgetown
4343926,Dupont Circle Townhouse 4s
4408378,Luxe 2BD/2BA Townhouse in Hip Area - Near Metro
4411488,Dupont Circle Townhouse 5
4416095,Capitol Hill Luxurious Master Bedrm
4420920,In DC Private Studio Apartment
4427874,Furnished Private Room #4 near Convention center
4482945,Cozy room in historic row house
4545885,Union Market Penthouse Apartment
4552932,Sunny English Basement on the Hill
4574014,Capitol Hill | H Street NE One Bedroom Apartment
4579903,Vet Owned 1 block to Capitol - Fantastic Location
4580159,Cap Hill Vet Owned Tiny House 3 blocks to Capitol
4604357,"Elegant, Affordable Urban Luxury"
4616068,Capitol Hill Gem-Steps to it All-Plus Parking
4634946,Cozy and queen bedrooms in a grand victorian
4708026,The Historic DC Firehouse 4 - Carriage House
4730124,Beautiful Victorian Awaits You - Garden View
4730309,1-Bedroom Modern Spacious Apartment
4758676,Cozy Apt w/ fireplace
4767589,Light-filled 1br & outdoor escape with city access
4789751,"Embassy enclave,by Mariott hotel"
4801046,Charming Flat Right by the Capitol
4841217,"Fabulous1890Victorian-#1, Steps To Metro!"
4848799,MasterSuite 4 Blks to US Capitol
4922023,Bright Capitol Hill English Basement Apartment
4924193,Georgetown Townhouse - Garden Patio Suite
4928685,DC Getaway - Free Parking (3 BR’s)
4936102,"3-level, 4-bedroom, 3.5 bath Victorian in the heart of Georgetown"
4943572,One bedroom condo near Foggy Bottom metro
4978586,Charming studio in Washington DC
5012334,Cozy 2Bedroom mins from the Capitol
5015395,The Tuscany  Room
5018679,"Luxurious, eco-friendly apartment"
5030785,Capitol Hill 1BD-Cari's in the City
5066458,The Best 3 Bedroom Rowhouse in NOMA/Eckington
5075773,LOOK NO FURTHER - this is your home away from home
5076606,Dupont Townhouse 2 bedroom Apartment
5111311,Capitol Hill free streetcar to B&B
5132940,Cozy Private Suite
5156582,"Pied-a-Terre in Washington, DC"
5166322,NO NEED TO LOOK ANY FURTHER!
5195346,Pennsylvania Avenue 3 BR Condo!
5239084,Adams Morgan well equipped 2 br apt
5262416,Modern garden Apt in jazz saxophonist's home
5286261,Spacious English Basement
5318112,John Denver Historic Basement Apartment
5354872,Charming Brookland English Apartment w/ St Parking
5405966,Row House Apt in Shaw (with separate entrance)
5592949,Master Suite 1BD/1BA Convention Center/DT/Metro
5593096,Historic Shaw 3BD/2BA Conv. C/DT/Metro
5661282,Private Room/Private Bathroom NW DC
5755232,Charming basement with fireplace near Conv. Center
5780038,Stylish Columbia Heights 1BR Garden Apartment
5790254,Clean Designer Apartment with All the Amenities!
5825904,Large semi-private space in Logan
5834173,3BR/2.5BA H St/Union Station home
5847593,Park View - Updated  1bed/bath Suite
5862637,Historic Carriage House + Parking!
5903980,Georgetown  East Village Apt  1/2 Block from M St!
5904077,Spacious DC Apartment in Historic Brookland
6000894,Walk to METRO. Budget In DC.
6027248,DC Spacious 2BR Apt | WiFi + Work Space | by GLS
6047348,Master bdrm near Petworth metro
6084064,Nice Capitol Hill Place
6091385,Capitol Hill sunny bay window suite
6091388,"1BD Roomy, Bright, Private and Cozy"
6103261,Newly renovated spacious central 1br near Zoo
6118082,The ERA - Unique Modern Loft in DC
6128357,NW DC/ NearTakoma Park Metro
6133914,Modern Carriage House in Capitol Hill
6231539,Walk To Union Station
6247860,Cozy DC apartment great for longer stays
6327064,Middle room in Victorian home
6334405,Cozy(Blue) Bedroom/office by subway
6355197,Cozy Newly Renovated Studio near the Hill!
6389428,Park View
6404202,Charming sunny bedroom with desk near Metro/Mall
6424291,Franklin's House  -  Part One
6438519,English Basement in Georgetown
6479337,Brookland Room
6490357,Beautiful room next to the Metro station
6557100,Cozy basement room 10 mins from shaw howard metro.
6569449,Enjoy a classic Capitol Hill experience just 5 blocks from the seat of power.
6627551,Cozy Congress Heights Studio Apt.
6677616,Luxury Woodley Park 1BR Condo+pool
6746916,Newly-renovated Capitol Hill Home
6832557,Capitol Hill/E. Market Rowhouse Apt
6913597,Charming Detached Home NW DC Takoma Park Washingto
6956685,Master bedroom with private ensuite bathroom in DC
6968949,Clean & Private 1BR | Kitchen | Wi-Fi | Gym | DC
6969950,Spacious 2BR | Full Furnished | Gym | Near Metro
7060166,Neat & Cozy in the Nicest Neighborhood!
7106899,Georgetown Townhouse - Biddle Suite
7181782,Spacious Apt 2 Blocks from Capitol
7195053,Cozy Apartment to Explore DC
7245977,"Spacious 1BR in historic rowhouse, great location!"
7290056,"Charming, Private Capitol Hill Apartment, Sleeps Four."
7319641,"Beautiful Chevy Chase, DC Home"
7384867,"Perfect for the Budget, Business, or Intern stay"
7385563,"Retreat in the City, Walk to Metro!"
7387956,1 BR basement apt in NW Washington
7452083,Artist Studio Carriage House
7547751,Sunny 1BR Garden Apartment
7626430,Comfy & private - Petworth 1bd garden apartment
7660850,Basic basement one bed near Georgetown University
7677038,Just re-modeled! Superb Location!  Read Reviews!
7677423,Brookland-CUA: DC Within Your Reach
7714870,01. A quiet room near Nats stadium
7714880,04. Master bedroom near the stadium
7725828,Luxury 1BR | Desk Space | Wi-Fi | Gym | Near Metro
7733964,1 Bedroom Apt. w/ Full Kitchen & Private Entrance
7800582,Dupont Circle Condo. Prime Location (Unit 2)
7801335,Georgetown Condo. Prime Location (Unit 1)
7826994,"Great price for DC room, Intern discount"
7930288,Charming - Patio - Vet owned 3 blocks to Capitol
7968494,A home away from home...Enjoy!
7997888,2Br METRO/Parking/EatPlayWorkStudy Best Location
8072054,The Flat at Harvard St
8165340,Top Dupont U Street Location - Veteran owned
8190920,Bright Capitol Hill 2 bdrm
8339618,Private Oasis Studio Apartment
8347485,Capitol Hill hideaway
8353034,A fabulous basement studio in my house!
8363399,Comfortable. Tidy. Accessible. Dupont 1BR.
8381345,Large Bright Room & Private Bath - plus a house!
8404345,Good Night 1 Bdrm w/ 2 Queen Beds
8409891,"2BR Mid-century gem, walk 2 metro, cnvcntr & sites"
8608311,Capitol Hill Private Apartment
8616083,Charming  Private Room & Private bath so Clean!!
8645356,Georgetown Condo. Prime Location (Unit 2)
8645554,Georgetown Condo. Prime Location (Unit 3)
8645700,Georgetown Condo. Prime Location (Unit 4)
8646332,Dupont Circle Condo. Prime Location (Unit 4)
8646530,Dupont Circle Condo. Prime Location (Unit 3)
8737926,"All are welcomed, but the decor has a left lean."
8741535,Cozy 1BR Suite close to Rock Creek
8796084,QUIET CITY RETREAT ★ PARKING | YARD
