host_id,id,name,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
39930655,15734466,Rental unit in Washington · ★4.67 · 2 bedrooms · 2 beds · 1 bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,16405079,Home in Washington · ★4.72 · Studio · 1 bed · 1 bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,18288362,Home in Washington · ★4.77 · Studio · 1 bed · 1 private bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,18598439,Home in Washington · ★4.77 · 1 bedroom · 1 bed · 1 private bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,18949151,Boutique hotel in Washington · ★4.80 · 1 bedroom · 1 bed · 1 private bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,19142630,Home in Washington · ★4.82 · 1 bedroom · 1 bed · 1 private bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,19503298,Townhouse in Washington · ★4.89 · 1 bedroom · 2 beds · 1 bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,22807715,Rental unit in Washington · ★4.81 · 1 bedroom · 2 beds · 1 bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,23464005,Rental unit in Washington · ★4.63 · 1 bedroom · 1 bed · 1 bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,33276776,Rental unit in Washington · ★4.88 · 1 bedroom · 1 bed · 1 bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,33277098,Rental unit in Washington · ★4.79 · 1 bedroom · 1 bed · 1 bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,33277348,Rental unit in Washington · ★4.90 · 2 bedrooms · 2 beds · 2 baths,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,33469877,Rental unit in Washington · ★4.79 · 1 bedroom · 2 beds · 1 bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,33718308,Rental unit in Washington · ★4.73 · 2 bedrooms · 2 beds · 1.5 baths,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,33772102,Rental unit in Washington · ★4.73 · 1 bedroom · 1 bed · 1 bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
39930655,33997170,Rental unit in Washington · ★4.74 · Studio · 1 bed · 1 bath,Team,2015-07-29,"Washington, DC","Hi, I'm Nicole, the co-founder of Sojourn.  At Sojourn, we understand how being away from home and routine can be disruptive to your being, which is why we have made our raison d’etre about making your temporary stay seamless and fluid. We are, at our core, about hospitality! A Sojourn space is carefully curated, thoughtfully designed, complete with beautiful and comfortable furniture. You will find fully equipped kitchens, superior quality mattresses, high quality linens and luxury towels. We have built Sojourn around understanding your unique needs and expectations. We can and will cater our services to ensure that you have everything you need to settle in and enjoy your Sojourn.

",within an hour,100%,100%,f,Dupont Circle,316,377,"['email', 'phone']",t,t
