listing_id,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm
3686,31,365,31,31,365,365,31.0,365.0
3943,1,1125,1,1,1125,1125,1.0,1125.0
4197,7,1125,7,7,1125,1125,7.0,1125.0
4529,30,1125,30,30,1125,1125,30.0,1125.0
4967,1125,1125,1125,1125,1125,1125,1125.0,1125.0
5589,31,45,31,31,45,45,31.0,45.0
6165,31,365,31,31,365,365,31.0,365.0
7103,31,1125,31,31,31,1125,31.0,197.0
11785,31,1125,31,31,1125,1125,31.0,1125.0
12442,31,365,31,31,1125,1125,31.0,1125.0
13744,30,90,30,30,1125,1125,30.0,1125.0
14218,31,365,31,31,1125,1125,31.0,1125.0
17131,31,1125,31,31,1125,1125,31.0,1125.0
24712,1,29,1,5,29,29,3.8,29.0
26147,31,365,31,31,365,365,31.0,365.0
27281,31,35,31,31,35,35,31.0,35.0
27682,120,360,120,120,360,360,120.0,360.0
32087,1,30,1,1,1125,1125,1.0,1125.0
52092,31,183,31,31,183,183,31.0,183.0
62122,5,150,5,5,150,150,5.0,150.0
65024,31,730,31,31,730,730,31.0,730.0
67483,31,730,31,31,730,730,31.0,730.0
72454,4,29,1,4,29,29,3.7,29.0
78264,1,1125,1,7,1125,1125,6.5,1125.0
79866,1000,1000,1000,1000,1000,1000,1000.0,1000.0
79867,1125,1125,1125,1125,1125,1125,1125.0,1125.0
93551,31,365,31,31,365,365,31.0,365.0
116951,31,1125,31,31,1125,1125,31.0,1125.0
150109,31,365,31,31,365,365,31.0,365.0
153545,30,1120,30,30,1120,1120,30.0,1120.0
155859,31,31,31,31,1125,1125,31.0,1125.0
164069,1,1125,1,1,1125,1125,1.0,1125.0
174808,2,20,2,2,20,20,2.0,20.0
175608,31,365,31,31,365,365,31.0,365.0
178395,31,730,31,31,730,730,31.0,730.0
196429,31,1125,31,31,1125,1125,31.0,1125.0
198685,31,365,31,31,365,365,31.0,365.0
201116,28,730,28,28,730,730,28.0,730.0
204741,31,210,31,31,210,210,31.0,210.0
223203,2,3365,2,2,3365,3365,2.0,3365.0
