id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3686,Vita's Hideaway,4645,Vita,,Historic Anacostia,38.86339,-76.98889,Private room,67,31,84,2023-08-30,0.52,1,365,2,
3943,Historic Rowhouse Near Monuments,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room,85,1,498,2024-01-15,2.75,5,305,43,Hosted License: 5007242201001033
4197,Capitol Hill Bedroom walk to Metro,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88719,-76.99472,Private room,135,7,59,2024-03-16,0.33,2,343,7,Hosted License: 5007242201000749
4529,Bertina's  House Part One,5803,Bertina,,"Eastland Gardens, Kenilworth",38.90585,-76.94469,Private room,56,30,102,2019-07-05,0.57,2,151,0,Exempt
5589,Cozy apt in Adams Morgan,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,Entire home/apt,60,31,96,2023-08-17,0.54,1,141,1,
6165,Private Bath & Laundry  + Huge Lower Level Suite,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.95331,-77.03624,Private room,82,31,23,2023-07-03,0.14,1,365,1,
7103,Lovely guest suite in a quiet but close-in neighborhood,17633,Charlotte,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,Entire home/apt,69,31,91,2022-06-03,0.53,24,324,0,
11785,Sanctuary near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire home/apt,85,31,412,2022-06-27,2.38,4,349,0,
12442,Peaches & Cream near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,Private room,52,31,117,2023-07-01,0.68,4,266,1,
14218,Quiet Comfort near Nat'l Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,Private room,52,31,104,2023-06-02,0.66,4,287,2,
17131,The Loft near National Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,Private room,52,31,107,2023-09-14,0.63,4,234,1,
27682,Private 1-bed apartment-Walk to MET,36646,Ellen,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,Entire home/apt,65,120,11,2022-08-13,0.07,2,266,0,
32087,B&B Charm - Room 301 | Walk Dupont Circle Metro,138459,Lucia,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,260,1,15,2023-01-29,0.10,10,145,0,Exempt
52092,People's Place 2- Convention Center,50148,Adreinne,,"Shaw, Logan Circle",38.9077,-77.02431,Entire home/apt,75,31,196,2024-02-04,1.19,2,145,1,
62122,"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY",301975,Sarah (And JT),,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,Private room,105,5,129,2024-01-31,0.92,1,182,13,Hosted License: 5007242201000081
93551,Upscale Master Close to Everything,481929,Chris,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876,Private room,99,31,103,2023-07-30,0.65,4,365,1,
116951,Upscale Private Close to Everything,481929,Chris,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91435869686174,-77.01809903471504,Private room,87,31,85,2023-08-06,0.55,4,365,2,
153545,Guest Room 3 miles to the White House,738459,Natasha,,"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417,Private room,48,30,39,2023-07-01,0.26,4,211,1,Hosted License: 5007242201000811<br />Unhosted License: 5007262201000812
155859,~Upper North West GuestNest DC,745305,Larry And Paulette,,"Takoma, Brightwood, Manor Park",38.96628,-77.0309,Private room,60,31,129,2019-10-28,0.84,2,90,0,
164069,Master en-suite in historical house near monuments,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91366,-77.00803,Private room,86,1,215,2024-03-16,1.39,5,97,14,Hosted License: 5007242201001033
174808,Historic American Four Square,835242,Jeffrey,,Historic Anacostia,38.86432,-76.98749,Private room,95,2,76,2024-02-17,0.78,1,152,19,Hosted License: 5007242201001736
