listing_id,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
3686,1,0,1,0
3943,5,0,5,0
4197,2,0,2,0
4529,1,0,1,0
4967,3,0,3,0
5589,1,1,0,0
6165,2,0,2,0
7103,32,32,0,0
11785,4,1,3,0
12442,4,1,3,0
13744,1,1,0,0
14218,4,1,3,0
17131,4,1,3,0
24712,3,3,0,0
26147,2,0,2,0
27281,1,1,0,0
27682,2,1,1,0
32087,11,0,11,0
52092,3,3,0,0
62122,1,0,1,0
65024,40,1,39,0
67483,1,1,0,0
72454,3,3,0,0
78264,13,11,2,0
79866,3,0,3,0
79867,3,0,3,0
93551,4,0,4,0
116951,4,0,4,0
150109,1,1,0,0
153545,5,3,2,0
155859,2,1,1,0
164069,5,0,5,0
174808,1,0,1,0
175608,3,3,0,0
178395,2,1,1,0
196429,1,1,0,0
198685,3,0,3,0
201116,1,1,0,0
204741,2,0,2,0
223203,4,0,4,0
223922,5,3,2,0
251611,4,0,4,0
251615,4,0,4,0
251619,4,0,4,0
262629,2,1,1,0
290001,1,1,0,0
296196,1,1,0,0
299030,2,0,2,0
303723,1,1,0,0
306465,1,1,0,0
313405,2,0,2,0
322610,2,2,0,0
322611,2,2,0,0
339208,1,1,0,0
355527,1,1,0,0
382111,1,1,0,0
409582,1,1,0,0
437005,2,0,2,0
453159,1,1,0,0
453315,1,1,0,0
501809,4,0,4,0
525672,2,2,0,0
542144,1,1,0,0
556729,3,0,3,0
560341,5,3,2,0
561697,5,5,0,0
563607,2,2,0,0
610655,1,1,0,0
626868,2,2,0,0
638604,2,1,1,0
654835,2,1,1,0
660514,3,0,3,0
660537,3,0,3,0
688914,4,0,4,0
713529,15,1,14,0
723716,2,2,0,0
748316,1,1,0,0
763569,5,3,2,0
792578,1,1,0,0
794213,4,1,3,0
800076,1,1,0,0
801699,1,1,0,0
808830,1,0,1,0
815855,3,3,0,0
828497,1,0,1,0
841260,40,1,39,0
842418,1,1,0,0
860336,4,1,3,0
860776,40,1,39,0
861775,4,0,4,0
871825,1,1,0,0
873182,1,1,0,0
883653,1,1,0,0
886283,1,1,0,0
887461,40,1,39,0
888029,40,1,39,0
