listing_id,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,instant_bookable
3686,True,0,16,46,321,2024-06-21,False
3943,True,11,19,45,313,2024-06-21,False
4197,True,14,42,60,335,2024-06-21,False
4529,True,29,59,89,179,2024-06-21,False
5589,True,0,0,0,10,2024-06-21,False
6165,True,5,35,65,340,2024-06-21,False
7103,True,0,0,0,263,2024-06-21,False
11785,True,0,24,54,234,2024-06-21,False
12442,True,18,19,31,263,2024-06-21,True
14218,True,12,12,42,317,2024-06-21,False
17131,True,0,1,10,285,2024-06-21,False
27682,True,19,49,78,353,2024-06-21,False
32087,True,26,47,77,161,2024-06-21,True
52092,True,0,7,25,228,2024-06-21,False
62122,True,0,5,16,149,2024-06-21,False
93551,True,0,5,35,310,2024-06-21,False
116951,True,0,20,50,325,2024-06-21,False
153545,True,0,0,1,191,2024-06-21,False
155859,True,0,11,40,40,2024-06-21,False
164069,True,5,10,40,315,2024-06-21,False
174808,True,19,44,73,162,2024-06-21,False
178395,True,30,60,90,365,2024-06-21,False
196429,True,23,53,83,358,2024-06-21,False
198685,True,0,0,0,77,2024-06-21,False
201116,True,5,29,40,287,2024-06-21,False
223203,True,30,60,90,365,2024-06-21,True
223922,True,6,24,44,136,2024-06-21,True
251611,True,30,60,90,365,2024-06-21,False
251615,True,30,60,90,365,2024-06-21,True
251619,True,30,60,90,365,2024-06-21,True
262629,True,0,0,19,294,2024-06-21,False
290001,True,5,27,50,118,2024-06-21,False
296196,True,7,21,30,196,2024-06-21,True
299030,True,17,47,77,352,2024-06-21,False
303723,True,0,5,35,127,2024-06-21,False
306465,True,0,0,30,120,2024-06-21,False
313405,True,24,54,84,359,2024-06-21,False
339208,True,5,18,38,282,2024-06-21,True
355527,True,5,16,25,128,2024-06-21,False
409582,True,0,0,23,65,2024-06-21,False
437005,True,29,59,89,364,2024-06-21,False
446147,True,23,53,83,173,2024-06-21,False
453315,True,4,5,5,214,2024-06-21,False
501809,True,0,6,36,311,2024-06-21,False
525672,True,5,29,59,326,2024-06-21,False
538598,True,0,0,0,0,2024-06-21,False
542144,True,6,6,6,271,2024-06-21,False
561697,True,16,45,75,342,2024-06-21,False
563607,True,15,45,75,165,2024-06-21,True
654835,True,30,60,90,365,2024-06-21,False
660514,True,12,42,72,347,2024-06-21,False
660537,True,0,2,14,181,2024-06-21,False
688914,True,0,0,18,293,2024-06-21,False
723716,True,0,5,12,88,2024-06-21,False
748316,True,5,26,43,301,2024-06-21,False
763569,True,0,8,38,313,2024-06-21,False
792286,True,8,21,45,316,2024-06-21,True
792578,True,0,0,18,293,2024-06-21,False
800076,True,25,55,85,227,2024-06-21,False
808830,True,25,48,72,341,2024-06-21,False
815855,True,0,12,12,264,2024-06-21,False
828497,True,19,43,73,232,2024-06-21,False
841260,True,0,8,38,313,2024-06-21,False
842418,True,20,50,80,80,2024-06-21,False
860336,True,21,51,81,171,2024-06-21,False
860776,True,0,9,39,314,2024-06-21,False
861775,True,0,15,45,320,2024-06-21,False
873182,True,14,44,74,254,2024-06-21,False
883653,True,0,0,0,0,2024-06-21,False
886283,True,0,4,7,47,2024-06-21,False
887461,True,0,0,0,195,2024-06-21,False
888029,True,0,16,46,321,2024-06-21,False
893529,True,30,60,90,365,2024-06-21,False
898543,True,8,28,28,50,2024-06-21,False
898544,True,6,26,28,303,2024-06-21,False
902573,True,28,58,88,363,2024-06-21,False
925318,True,0,3,33,308,2024-06-21,True
945426,True,5,15,26,261,2024-06-21,True
1026034,True,0,21,51,323,2024-06-21,False
1092713,True,19,49,79,168,2024-06-21,False
1112617,True,2,2,31,31,2024-06-21,False
1177438,True,7,33,63,63,2024-06-21,True
1205516,True,0,0,0,17,2024-06-21,True
1245292,True,7,7,26,301,2024-06-21,False
1336217,True,12,21,40,40,2024-06-21,True
1446230,True,0,0,19,294,2024-06-21,False
1472332,True,0,24,54,329,2024-06-21,True
1484387,True,30,60,90,365,2024-06-21,False
1488282,True,5,20,45,215,2024-06-21,False
1537822,True,9,15,30,30,2024-06-21,False
1571112,True,0,0,20,210,2024-06-21,False
1628328,True,10,35,46,305,2024-06-21,False
1641184,True,0,0,22,297,2024-06-21,False
1667080,True,3,9,17,72,2024-06-21,False
1688139,True,0,14,38,202,2024-06-21,False
1750913,True,0,0,1,1,2024-06-21,False
1761677,True,2,15,32,270,2024-06-21,True
1789722,True,12,35,58,148,2024-06-21,False
1806338,True,0,5,17,215,2024-06-21,False
1813962,True,0,24,32,193,2024-06-21,False
1821276,True,0,2,31,120,2024-06-21,False
1824864,True,15,41,63,306,2024-06-21,False
1825234,True,30,60,90,365,2024-06-21,True
1838623,True,0,0,0,138,2024-06-21,False
1841397,True,0,0,0,97,2024-06-21,False
1860120,True,20,50,80,80,2024-06-21,False
1865861,True,4,13,17,87,2024-06-21,False
1901631,True,7,27,50,50,2024-06-21,False
1936134,True,6,14,32,249,2024-06-21,False
1997483,True,2,17,47,322,2024-06-21,False
2033421,True,30,60,90,365,2024-06-21,False
2060129,True,0,0,0,264,2024-06-21,False
2098615,True,13,41,71,71,2024-06-21,True
2111965,True,4,27,57,332,2024-06-21,False
2115421,True,0,0,19,294,2024-06-21,False
2198232,True,13,31,61,61,2024-06-21,False
2241400,True,0,0,9,179,2024-06-21,True
2263350,True,0,0,0,187,2024-06-21,False
2277705,True,3,13,43,126,2024-06-21,False
2285431,True,11,24,27,210,2024-06-21,True
2304761,True,0,3,33,308,2024-06-21,False
2308259,True,0,19,49,110,2024-06-21,False
2318183,True,5,5,15,81,2024-06-21,False
2340172,True,1,11,32,32,2024-06-21,True
2343987,True,5,15,25,270,2024-06-21,False
2361802,True,0,0,0,0,2024-06-21,True
2365726,True,1,12,27,302,2024-06-21,False
2466942,True,12,42,72,340,2024-06-21,False
2476761,True,0,16,46,321,2024-06-21,False
2477325,True,13,43,73,163,2024-06-21,False
2477330,True,0,24,54,329,2024-06-21,False
2479145,True,0,0,0,274,2024-06-21,False
2483191,True,22,29,29,238,2024-06-21,False
2501387,True,30,60,90,365,2024-06-21,False
2501531,True,29,59,89,179,2024-06-21,False
2523708,True,21,50,79,168,2024-06-21,False
2538828,True,26,55,85,360,2024-06-21,False
2547672,True,0,15,45,320,2024-06-21,False
2554353,True,0,0,25,115,2024-06-21,False
2622950,True,10,20,39,282,2024-06-21,False
2657916,True,0,0,28,303,2024-06-21,False
2685655,True,5,22,52,321,2024-06-21,False
2690487,True,13,35,49,49,2024-06-21,False
2694647,True,1,27,30,30,2024-06-21,True
2791050,True,4,12,17,170,2024-06-21,False
2874685,True,0,2,32,44,2024-06-21,False
2964999,True,6,23,53,328,2024-06-21,False
3103276,True,8,18,28,222,2024-06-21,False
3119991,True,0,14,44,195,2024-06-21,False
3136813,True,25,55,85,85,2024-06-21,False
3175218,True,2,22,51,51,2024-06-21,False
3199232,True,13,32,58,316,2024-06-21,False
3201115,True,2,10,29,291,2024-06-26,False
3237702,True,9,29,59,148,2024-06-21,False
3317645,True,6,6,22,267,2024-06-21,False
3526640,True,0,23,53,328,2024-06-21,False
3538921,True,0,1,31,306,2024-06-21,False
3544432,True,4,34,64,339,2024-06-21,False
3601131,True,0,3,16,214,2024-06-21,False
3604624,True,0,17,33,101,2024-06-21,True
3627430,True,3,11,34,124,2024-06-21,False
3633359,True,7,17,27,99,2024-06-21,False
3635540,True,7,7,16,80,2024-06-21,True
3637629,True,5,28,42,124,2024-06-21,True
3651862,True,10,40,70,248,2024-06-21,False
3674676,True,28,58,88,363,2024-06-21,True
3760995,True,0,0,19,294,2024-06-21,False
3761001,True,0,17,47,322,2024-06-21,False
3767679,True,1,2,32,307,2024-06-21,True
3810218,True,0,0,0,188,2024-06-21,False
3821808,True,0,0,25,300,2024-06-21,False
3821950,True,20,50,80,355,2024-06-21,False
3822015,True,8,38,68,343,2024-06-21,False
3822053,True,21,28,53,328,2024-06-21,False
3822134,True,30,60,90,245,2024-06-21,False
3851703,True,15,45,75,350,2024-06-21,False
3861766,True,0,1,11,93,2024-06-21,False
3884614,True,0,2,32,307,2024-06-21,False
3894739,True,11,22,40,276,2024-06-21,False
3897112,True,4,4,4,80,2024-06-21,False
3898306,True,0,0,0,51,2024-06-21,False
3907276,True,15,15,15,15,2024-06-21,False
3912498,True,0,18,48,322,2024-06-21,False
3964658,True,30,60,90,365,2024-06-21,False
3996972,True,0,19,49,263,2024-06-21,True
4022565,True,14,44,61,321,2024-06-21,False
4024085,True,23,53,83,358,2024-06-21,False
4025236,True,23,53,83,358,2024-06-21,False
4025438,True,23,53,83,358,2024-06-21,False
4054129,True,0,23,53,328,2024-06-21,False
4055607,True,0,24,54,54,2024-06-21,False
4083095,True,5,14,22,243,2024-06-21,False
4085972,True,0,15,45,135,2024-06-21,False
4204367,True,3,18,34,304,2024-06-21,False
4218583,True,7,18,48,323,2024-06-21,False
4231934,True,20,47,77,167,2024-06-21,True
4244705,True,7,21,46,279,2024-06-21,False
4284144,True,5,13,24,171,2024-06-21,True
4286181,True,0,0,18,293,2024-06-21,False
4325533,True,6,23,43,284,2024-06-21,False
4343926,True,0,0,20,295,2024-06-21,False
4408378,True,4,21,37,260,2024-06-21,True
4411488,True,0,17,24,225,2024-06-21,True
4416095,True,5,11,15,23,2024-06-21,False
4420920,True,1,4,21,85,2024-06-21,False
4427874,True,7,10,40,315,2024-06-21,True
4480481,True,0,2,32,307,2024-06-21,False
4482916,True,0,19,49,139,2024-06-21,False
4482945,True,0,0,1,185,2024-06-21,False
4510648,True,0,22,52,297,2024-06-21,False
4545885,True,4,23,53,142,2024-06-21,False
4552932,True,3,5,14,161,2024-06-21,False
4574014,True,6,12,16,87,2024-06-21,False
4579903,True,0,0,19,294,2024-06-21,False
4580159,True,0,25,55,330,2024-06-21,False
4604357,True,10,32,59,136,2024-06-21,False
4616068,True,8,16,35,281,2024-06-21,True
4621063,True,0,17,41,316,2024-06-21,False
4634946,True,12,28,34,34,2024-06-21,False
4635196,True,20,23,53,328,2024-06-21,True
4708026,True,23,53,83,358,2024-06-21,False
4730124,True,0,18,48,138,2024-06-21,False
4730309,True,24,54,84,174,2024-06-21,False
4741982,True,3,4,4,175,2024-06-21,False
4742331,True,23,53,83,83,2024-06-21,False
4758676,True,0,0,0,202,2024-06-21,False
4767589,True,24,54,84,264,2024-06-21,False
4801046,True,7,14,32,274,2024-06-21,False
4841217,True,0,0,0,1,2024-06-21,True
4848799,True,12,34,34,292,2024-06-21,False
4922023,True,0,0,0,188,2024-06-21,True
4924193,True,5,5,32,122,2024-06-21,False
4928685,True,1,4,9,9,2024-06-21,False
4936102,True,5,5,5,5,2024-06-21,False
4943572,True,0,5,5,102,2024-06-21,False
4978586,True,0,9,9,242,2024-06-21,False
5012334,True,5,16,46,136,2024-06-21,True
5015395,True,29,59,89,364,2024-06-21,False
5018679,True,0,3,33,308,2024-06-21,False
5030765,True,18,46,76,166,2024-06-21,True
5030785,True,18,46,76,166,2024-06-21,True
5066458,True,7,19,36,295,2024-06-21,False
5075773,True,22,52,82,82,2024-06-21,False
5076606,True,6,34,57,322,2024-06-21,True
5111311,True,15,31,46,113,2024-06-21,False
5132940,True,5,6,13,222,2024-06-21,False
5156582,True,0,11,20,253,2024-06-21,True
5166322,True,2,21,51,51,2024-06-21,False
5195346,True,0,10,40,130,2024-06-21,False
5239084,True,8,29,53,322,2024-06-21,False
5262416,True,2,5,12,216,2024-06-21,False
5286261,True,1,31,61,213,2024-06-21,True
5318112,True,11,24,51,221,2024-06-21,False
5354872,True,14,44,54,135,2024-06-21,False
5405966,True,8,28,46,99,2024-06-21,False
5592949,True,2,20,48,269,2024-06-21,False
5593096,True,9,28,54,270,2024-06-21,False
5652436,True,0,0,0,0,2024-06-21,False
5661282,True,29,59,83,83,2024-06-21,False
5755232,True,6,21,46,122,2024-06-21,False
5780038,True,17,42,72,134,2024-06-21,False
5790254,True,9,14,30,100,2024-06-21,True
5825904,True,16,38,68,68,2024-06-21,False
5834173,True,7,27,50,50,2024-06-21,False
5847593,True,1,1,30,30,2024-06-21,False
5862637,True,3,11,18,239,2024-06-21,True
5903980,True,6,18,34,187,2024-06-21,False
