listing_id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,reviews_per_month,review_scores_value
3686,84,2,0,2010-11-01,2023-08-30,4.64,4.73,4.45,4.91,4.84,3.91,0.51,4.64
3943,504,34,3,2009-05-10,2024-06-09,4.85,4.89,4.92,4.94,4.91,4.59,2.74,4.76
4197,61,8,2,2009-05-14,2024-06-09,4.86,4.98,4.88,5.0,4.98,4.97,0.33,4.95
4529,102,0,0,2009-08-08,2019-07-05,4.66,4.8,4.6,4.93,4.93,4.51,0.56,4.83
5589,96,1,0,2009-09-22,2023-08-17,4.5,4.71,4.13,4.82,4.82,4.91,0.53,4.44
6165,23,1,0,2010-05-16,2023-07-03,4.95,4.87,4.87,5.0,4.8,4.53,0.13,4.87
7103,91,0,0,2010-03-21,2022-06-03,4.79,4.77,4.87,4.94,4.9,4.79,0.52,4.81
11785,414,2,1,2010-01-12,2024-06-01,4.59,4.65,4.6,4.86,4.88,4.84,2.35,4.58
12442,118,2,0,2010-03-12,2024-04-06,4.62,4.73,4.7,4.86,4.84,4.82,0.68,4.58
14218,104,0,0,2011-05-01,2023-06-02,4.62,4.74,4.63,4.9,4.87,4.89,0.65,4.67
17131,108,2,0,2010-03-24,2024-04-14,4.65,4.57,4.74,4.77,4.85,4.76,0.62,4.65
27682,11,0,0,2010-05-12,2022-08-13,5.0,4.6,4.8,5.0,5.0,4.2,0.06,4.4
32087,15,0,0,2011-09-25,2023-01-29,4.86,4.85,4.92,5.0,5.0,4.85,0.1,4.85
52092,196,1,0,2010-09-26,2024-02-04,4.36,4.45,4.5,4.71,4.55,4.57,1.17,4.46
62122,138,16,1,2012-08-31,2024-05-28,4.86,4.85,4.63,4.87,4.9,4.94,0.96,4.87
93551,103,1,0,2011-04-19,2023-07-30,4.74,4.77,4.46,4.92,4.94,4.54,0.64,4.58
116951,85,1,0,2011-06-04,2023-08-06,4.68,4.73,4.42,4.86,4.84,4.55,0.53,4.49
153545,40,2,1,2011-09-15,2024-06-01,4.66,4.75,4.53,4.92,4.83,4.61,0.26,4.64
155859,129,0,0,2011-07-25,2019-10-28,4.87,4.84,4.81,4.92,4.96,4.71,0.82,4.87
164069,234,33,10,2011-07-12,2024-06-17,4.87,4.89,4.9,4.93,4.89,4.49,1.48,4.73
174808,86,14,3,2016-04-11,2024-06-08,4.94,4.86,4.95,4.94,4.98,4.69,0.86,4.92
178395,0,0,0,,,,,,,,,,
196429,5,0,0,2014-10-27,2022-04-01,4.2,4.4,4.2,5.0,5.0,4.6,0.04,4.2
198685,157,3,0,2011-09-03,2024-02-27,4.73,4.8,4.53,4.79,4.82,4.47,1.01,4.68
201116,225,4,0,2011-09-16,2024-02-29,4.49,4.58,4.4,4.76,4.81,4.85,1.45,4.55
223203,15,2,0,2011-10-24,2024-05-19,4.8,4.67,4.67,4.87,4.93,4.93,0.1,4.73
223922,207,18,2,2011-09-25,2024-06-10,4.75,4.75,4.75,4.95,4.9,4.77,1.33,4.73
251611,1,0,0,2019-03-10,2019-03-10,5.0,5.0,4.0,5.0,5.0,5.0,0.02,5.0
251615,6,0,0,2018-06-30,2022-08-19,4.83,5.0,4.83,5.0,5.0,4.83,0.08,4.67
251619,9,0,0,2013-03-30,2023-04-03,4.67,4.89,4.67,5.0,5.0,4.78,0.07,4.67
262629,41,1,0,2011-11-11,2024-05-03,4.88,4.74,4.7,4.95,5.0,4.58,0.27,4.8
290001,180,16,2,2012-03-17,2024-06-11,4.86,4.89,4.87,4.99,4.98,4.91,1.21,4.83
296196,89,19,2,2012-02-22,2024-06-10,4.9,4.91,4.83,4.98,4.98,4.95,0.59,4.92
