listing_id,host_id,neighbourhood_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price
3686,4645,0,38.86339,-76.98889,1,1.0,1.0,2.0,67.0
3943,5059,1,38.91195,-77.00456,2,1.0,1.0,1.0,82.0
4197,5061,2,38.88719,-76.99472,1,1.5,1.0,1.0,135.0
4529,5803,3,38.90585,-76.94469,2,1.0,1.0,2.0,66.0
5589,6527,4,38.91887,-77.04008,3,,1.0,,
6165,5782,5,38.95331,-77.03624,1,1.5,1.0,1.0,66.0
7103,17633,6,38.91999,-77.09774,2,1.0,1.0,2.0,69.0
11785,32015,7,38.92622,-77.07591,4,1.0,1.0,3.0,85.0
12442,32015,7,38.92756,-77.07667,2,1.5,1.0,1.0,52.0
14218,32015,7,38.92668,-77.07686,2,1.5,1.0,1.0,52.0
17131,32015,7,38.92644,-77.07646,2,1.5,1.0,1.0,52.0
27682,36646,8,38.9665,-77.00645,1,1.0,1.0,1.0,65.0
32087,138459,4,38.91766,-77.04598,2,1.0,1.0,1.0,236.0
52092,50148,9,38.9077,-77.02431,4,,2.0,,
62122,301975,4,38.92238,-77.04709,3,1.0,2.0,2.0,105.0
93551,481929,10,38.91433,-77.01876,2,1.5,1.0,1.0,99.0
116951,481929,10,38.91435869686174,-77.01809903471504,2,1.5,1.0,2.0,87.0
153545,738459,5,38.94286,-77.04417,1,2.0,1.0,1.0,48.0
155859,745305,11,38.96628,-77.0309,1,1.0,1.0,1.0,60.0
164069,5059,1,38.91366,-77.00803,2,1.0,1.0,1.0,83.0
174808,835242,0,38.86432,-76.98749,2,1.0,1.0,1.0,95.0
178395,852801,11,38.96165,-77.01858,1,1.5,1.0,4.0,399.0
196429,956417,11,38.96923,-77.02041,3,1.0,0.0,2.0,125.0
198685,966613,1,38.93395,-77.01625,2,1.5,1.0,1.0,65.0
201116,983611,11,38.97474,-77.01997,2,1.0,1.0,2.0,90.0
223203,1159505,12,38.98853,-77.04441,2,1.5,1.0,1.0,90.0
223922,738459,5,38.94482,-77.04437,3,1.5,1.0,2.0,123.0
251611,1159505,12,38.98853,-77.04441,3,1.5,1.0,2.0,90.0
251615,1159505,12,38.98853,-77.04441,2,1.5,1.0,1.0,90.0
251619,1159505,12,38.98853,-77.04441,2,1.5,1.0,1.0,90.0
262629,36646,8,38.96691,-77.0044,1,1.0,1.0,1.0,58.0
290001,1505235,9,38.91001,-77.02563,2,1.0,1.0,1.0,190.0
296196,1528235,13,38.9146,-77.03602,4,1.0,1.0,2.0,149.0
299030,1541062,12,38.9806,-77.03084,2,1.0,1.0,2.0,95.0
303723,1563230,10,38.91611,-77.02662,2,,1.0,,
306465,767543,13,38.91297,-77.0465,4,1.0,2.0,3.0,115.0
313405,1541062,12,38.9793,-77.0283,2,1.0,1.0,1.0,98.0
339208,1722407,14,38.89094,-76.93638,6,1.0,2.0,5.0,80.0
355527,1096793,2,38.88408,-77.0035,3,1.0,1.0,1.0,205.0
409582,2038963,2,38.88306,-76.99497,2,,,,
437005,2170422,0,38.86256,-76.98689,2,2.0,1.0,1.0,396.0
446147,2215579,15,38.90549,-77.02847,2,1.5,1.0,1.0,125.0
453315,2252538,16,38.89538,-76.98648,2,1.0,1.0,1.0,95.0
501809,481929,10,38.91454,-77.01814,2,1.5,1.0,2.0,76.0
525672,2583808,2,38.88183,-76.98911,4,1.0,1.0,2.0,135.0
538598,2645588,16,38.89881,-76.99578,4,,2.0,,
542144,2666087,2,38.88745,-76.99293,2,1.0,1.0,1.0,145.0
561697,2761762,1,38.91096,-77.00858,6,1.0,1.0,11.0,126.0
563607,2771266,13,38.91563852430024,-77.03795508901203,2,1.0,0.0,1.0,130.0
654835,1671809,17,38.91504,-77.07064,2,1.0,1.0,2.0,139.0
660514,2231801,18,38.92539,-77.02934,1,1.5,1.0,1.0,75.0
660537,2231801,18,38.92632759125191,-77.02766898838884,1,1.5,1.0,1.0,60.0
688914,3517743,19,38.85045,-76.97992,2,1.0,1.0,1.0,150.0
723716,3138065,18,38.93605,-77.04289,1,1.0,0.0,1.0,66.0
748316,1399272,16,38.89707,-76.9881,2,1.0,1.0,1.0,125.0
763569,738459,20,38.93624,-77.05813,2,1.0,1.0,1.0,70.0
792286,100727,14,38.88023,-76.93999,8,2.5,3.0,5.0,107.0
792578,4027780,21,38.88529,-76.9509,6,2.5,3.0,3.0,400.0
800076,3885360,10,38.91646194458008,-77.03011322021484,2,1.0,0.0,1.0,146.0
808830,3765717,7,38.92087,-77.07631,6,2.5,2.0,2.0,125.0
815855,50148,9,38.90881,-77.02255,2,,1.0,,
828497,3825475,22,38.94291,-77.07173,6,2.0,3.0,3.0,168.0
841260,315148,5,38.93719,-77.02335,1,2.0,1.0,1.0,39.0
842418,2236092,15,38.89898,-77.01629,2,1.5,1.0,1.0,150.0
860336,511136,13,38.90847,-77.04681,3,1.0,1.0,2.0,153.0
860776,315148,10,38.91785,-77.01498,1,3.0,1.0,1.0,35.0
861775,3517743,19,38.8491,-76.97982,2,1.0,1.0,1.0,65.0
873182,4608059,8,38.95345,-76.99504,3,1.0,1.0,2.0,90.0
883653,1541121,18,38.9356,-77.04468,7,,4.0,,
886283,4698675,22,38.94492,-77.09234,2,1.0,1.0,1.0,100.0
887461,315148,5,38.93788,-77.02313,1,2.0,1.0,1.0,39.0
888029,315148,18,38.93664,-77.02298,1,2.0,1.0,1.0,38.0
893529,4752493,1,38.91223,-77.01067,1,,,,
898543,4795247,23,38.90153,-77.05434,5,2.0,3.0,3.0,165.0
898544,4795247,23,38.8996,-77.05277,5,2.0,3.0,2.0,180.0
902573,481929,9,38.91054,-77.02149,2,1.0,1.0,1.0,89.0
925318,4977214,5,38.9413,-77.03284,2,1.0,1.0,1.0,51.0
945426,5121445,22,38.9604,-77.08253,2,1.0,1.0,2.0,92.0
1026034,2070536,9,38.91007,-77.03316,4,1.0,0.0,1.0,152.0
1092713,511136,13,38.90989,-77.04602,6,1.0,1.0,3.0,155.0
1112617,6105873,4,38.91843,-77.04338,2,1.0,1.0,1.0,120.0
1177438,6027536,16,38.90419,-77.0022,8,2.0,2.0,5.0,198.0
1205516,3672670,24,38.87164,-77.01247,1,1.0,1.0,1.0,70.0
1245292,5448602,25,38.96594,-77.078,2,1.0,1.0,1.0,78.0
1336217,4928965,7,38.92090039016265,-77.07768982807863,4,1.0,1.0,1.0,203.0
1446230,3574033,18,38.92806,-77.03796,2,1.0,0.0,1.0,70.0
1472332,7882953,26,38.94858,-76.99163,2,1.0,1.0,1.0,65.0
1484387,2639916,18,38.9316,-77.02438,2,1.0,1.0,1.0,120.0
1488282,2629218,18,38.93441,-77.02773,7,1.0,2.0,3.0,118.0
1537822,8199495,18,38.93362,-77.02555,2,1.0,1.0,2.0,106.0
1571112,8354112,13,38.91579,-77.04042,2,1.0,1.0,1.0,145.0
1628328,8654665,9,38.9126,-77.01748,4,1.0,1.0,2.0,150.0
1641184,8713526,4,38.92042,-77.03977,1,1.0,1.0,1.0,89.0
1667080,8828921,16,38.90438,-77.00177,2,1.0,0.0,1.0,125.0
1688139,476581,4,38.91897,-77.0464,1,1.0,0.0,2.0,89.0
1750913,9210898,16,38.896683,-77.0008129,6,,3.0,,
1761677,9260186,18,38.92918,-77.04035,8,1.5,4.0,5.0,496.0
1789722,9391057,18,38.93118,-77.03811,6,1.0,1.0,3.0,172.0
1806338,9462131,2,38.88981,-76.98762,1,1.5,1.0,1.0,97.0
1813962,3045892,9,38.90807,-77.03174,2,1.0,1.0,1.0,130.0
1821276,7042945,19,38.84136,-76.97888,2,1.5,1.0,1.0,29.0
1824864,9550761,16,38.89864,-76.987747,3,,2.0,,
1825234,4176601,23,38.90566,-77.05131,1,1.0,1.0,2.0,150.0
1838623,9542055,8,38.96885,-77.00968,2,1.0,2.0,2.0,22.0
1841397,9542055,8,38.96971,-77.00793,2,1.0,2.0,2.0,32.0
1860120,10470695,5,38.94334,-77.01426,2,1.0,0.0,1.0,96.0
1865861,3138065,18,38.93584,-77.04107,4,2.0,2.0,2.0,169.0
1901631,9011212,16,38.90192,-77.00103,4,1.0,2.0,2.0,137.0
1936134,10017900,27,38.95442,-77.07159,3,1.0,1.0,2.0,149.0
1997483,10292686,2,38.89014053344727,-77.00020599365234,4,1.0,2.0,3.0,204.0
2033421,3331633,28,38.91881,-76.9861,2,,,,
2060129,10292686,2,38.89068,-77.00155,4,1.0,1.0,2.0,175.0
2098615,6027536,16,38.9042,-77.00228,5,2.5,2.0,3.0,180.0
2111965,9354986,11,38.96725,-77.02451,1,1.0,1.0,1.0,70.0
2115421,315148,13,38.90645,-77.03694,1,1.0,1.0,1.0,55.0
2198232,11190236,5,38.94465,-77.01808,2,1.0,1.0,1.0,74.0
2241400,774839,9,38.9136,-77.02838,2,1.0,0.0,1.0,120.0
2263350,17633,13,38.90887,-77.04234,4,1.0,1.0,1.0,121.0
2277705,11630609,2,38.8892,-76.98778,4,1.0,1.0,2.0,160.0
2285431,743745,6,38.91105,-77.08691,2,1.5,1.0,1.0,110.0
2304761,315148,13,38.91496,-77.0425,1,1.0,1.0,1.0,55.0
2308259,11788216,17,38.90538,-77.06741,5,,1.0,,
2318183,8041566,18,38.93443,-77.03307,2,1.0,1.0,1.0,115.0
2340172,4073665,29,38.87172,-76.97188,7,1.0,2.0,2.0,200.0
2343987,11970274,16,38.89689,-76.99644,2,1.5,1.0,2.0,86.0
2361802,12062787,2,38.88277,-77.00837,4,,1.0,,
2365726,6355960,1,38.9171,-77.00075,1,1.5,1.0,1.0,59.0
2466942,12615669,12,38.98661,-77.03505,4,2.0,3.0,3.0,160.0
2476761,10292686,2,38.89013,-77.00026,4,1.0,0.0,2.0,258.0
2477325,11559071,1,38.90641,-77.01277,2,1.5,1.0,1.0,99.0
2477330,11559071,15,38.90588,-77.01133,2,1.5,1.0,1.0,88.0
2479145,3311328,22,38.9499,-77.09267,2,,1.0,,
2483191,1569728,30,38.90038,-76.94362,1,1.0,1.0,1.0,27.0
2501387,12803481,4,38.91415,-77.04986,2,1.0,1.0,1.0,275.0
2501531,12804388,20,38.92696,-77.05303,2,1.0,1.0,1.0,300.0
2523708,7042945,19,38.84348,-76.97886,5,2.5,1.0,1.0,99.0
2538828,11133326,18,38.92865,-77.04022,2,,1.0,,
2547672,9354986,11,38.96696,-77.0249,2,1.0,1.0,2.0,68.0
2554353,7737475,28,38.91788,-76.98537,2,,,,
2622950,13433584,18,38.92394158046773,-77.02475935089437,5,,3.0,,
2657916,315148,5,38.9383,-77.02306,1,2.0,1.0,1.0,32.0
2685655,2564662,17,38.9147,-77.06922,6,1.5,2.0,2.0,300.0
2690487,8519659,2,38.88196,-76.99618,4,,1.0,,
2694647,1864688,13,38.91391,-77.04235,4,1.0,1.0,2.0,100.0
2791050,14275599,2,38.88488,-76.98904,2,1.0,1.0,1.0,78.0
2874685,14692970,18,38.92986,-77.04216,2,1.0,0.0,1.0,101.0
2964999,5487930,13,38.91435,-77.04064,1,2.5,1.0,1.0,80.0
3103276,14275599,2,38.88488,-76.98904,2,1.0,1.0,2.0,70.0
3119991,15744022,28,38.91969009148916,-76.98726440199788,2,1.0,0.0,1.0,95.0
3136813,15059128,9,38.90982,-77.03225,3,1.0,1.0,2.0,145.0
3175218,5968774,18,38.93345,-77.02832,4,1.0,1.0,2.0,134.0
3199232,16213289,16,38.89267,-76.9939,2,1.0,1.0,1.0,145.0
3201115,14139251,31,38.90353,-76.99023,2,1.0,1.0,1.0,92.0
3237702,7737475,28,38.91963,-76.98146,1,1.5,1.0,1.0,40.0
3317645,16750072,16,38.90501,-76.99994,4,1.0,1.0,2.0,150.0
3526640,17403695,16,38.90329,-77.00347,1,1.5,1.0,1.0,128.0
3538921,17403695,16,38.90141,-77.00233,1,1.5,1.0,1.0,119.0
3544432,10327823,16,38.89409680871807,-76.97554383287732,3,1.0,0.0,2.0,130.0
3601131,14448941,9,38.90708,-77.02728,2,1.0,1.0,1.0,146.0
3604624,17818537,22,38.94285,-77.07665,2,1.0,0.0,1.0,95.0
3627430,5872012,1,38.91587,-77.01432,5,1.0,2.0,2.0,154.0
3633359,5047005,14,38.88296,-76.941,4,1.0,0.0,1.0,72.0
3635540,18332074,2,38.88426,-76.97856,4,1.0,1.0,2.0,134.0
3637629,9703984,16,38.89562,-76.99759,2,1.0,1.0,1.0,96.0
3651862,18466625,17,38.91356,-77.06409,3,1.0,0.0,2.0,167.0
3674676,18657916,2,38.88893117823924,-76.96858955755263,2,1.0,1.0,1.0,100.0
3760995,315148,5,38.93641,-77.02515,1,2.0,1.0,1.0,35.0
3761001,315148,5,38.93712,-77.02311,1,2.5,1.0,1.0,35.0
3767679,19301676,6,38.92995,-77.09986,4,1.0,1.0,4.0,120.0
3810218,9391057,18,38.93014,-77.03819,4,1.0,1.0,3.0,95.0
3821808,19143862,1,38.9166,-77.01353,2,,,,
3821950,19143862,10,38.91701,-77.01559,3,1.0,1.0,2.0,159.0
3822015,19143862,1,38.91551,-77.01356,1,1.0,1.0,1.0,99.0
3822053,19143862,1,38.91512,-77.01401,2,,,,
3822134,19143862,10,38.91518,-77.01494,1,1.5,1.0,1.0,166.0
3851703,9354986,11,38.96849,-77.02665,2,1.0,1.0,1.0,75.0
3861766,8354112,13,38.91503,-77.0406,2,1.0,1.0,1.0,145.0
3884614,1201707,11,38.96133,-77.02056,2,1.5,1.0,1.0,54.0
3894739,1505552,7,38.91857,-77.07399,9,2.0,3.0,5.0,253.0
3897112,476901,1,38.91173,-77.00862,4,1.0,1.0,2.0,175.0
3898306,17633,9,38.90593,-77.02447,5,1.0,1.0,3.0,115.0
3907276,20236500,13,38.91502,-77.04245,2,1.0,1.0,1.0,165.0
3912498,7737475,28,38.92153,-76.98008,3,1.0,0.0,3.0,75.0
3964658,20548311,1,38.91575,-77.00901,2,,,,
3996972,1662757,4,38.9139,-77.04834,2,1.5,1.0,1.0,135.0
4022565,5487930,13,38.91435,-77.04064,2,2.5,1.0,1.0,150.0
4024085,9581687,12,38.98326,-77.04009,1,1.5,1.0,1.0,300.0
4025236,9581687,12,38.98452,-77.04007,1,1.5,1.0,1.0,300.0
4025438,9581687,12,38.9826,-77.04024,1,1.5,1.0,1.0,300.0
4054129,7808700,5,38.95877,-77.02372,2,1.0,1.0,2.0,70.0
4055607,21032851,2,38.88949,-76.99161,5,,2.0,,
4083095,21132530,13,38.91367,-77.0424,2,1.0,1.0,1.0,97.0
4085972,2071346,18,38.92904,-77.01963,3,,1.0,,
4204367,11559071,15,38.90411,-77.01351,1,1.5,1.0,1.0,79.0
4218583,5487930,13,38.91435,-77.04064,2,2.5,1.0,1.0,175.0
4231934,3672670,24,38.87083,-77.01369,3,2.0,1.0,1.0,95.0
4244705,21506582,9,38.91243,-77.021,2,1.0,1.0,1.0,71.0
4284144,347943,13,38.91424,-77.0371,3,1.0,1.0,2.0,141.0
4286181,3517743,19,38.85097,-76.9794,2,1.0,1.0,1.0,65.0
4325533,22461157,17,38.90908050537109,-77.063720703125,3,1.0,1.0,3.0,145.0
4343926,5487930,13,38.91418,-77.03863,1,2.5,1.0,1.0,180.0
4408378,4192192,18,38.92712,-77.02932,6,2.0,2.0,3.0,315.0
4411488,5487930,13,38.91435,-77.04064,1,2.5,1.0,1.0,150.0
4416095,14275599,2,38.88488,-76.98904,2,1.0,1.0,1.0,86.0
4420920,7920042,5,38.93639,-77.04329,2,1.0,1.0,1.0,79.0
4427874,8043437,15,38.90343,-77.02692,1,1.0,1.0,1.0,60.0
4480481,23247942,15,38.90437,-77.02842,2,1.0,1.0,1.0,160.0
4482916,23254878,11,38.96614,-77.0319,3,1.0,0.0,2.0,60.0
4482945,22756175,5,38.94417,-77.03488,1,1.0,1.0,1.0,67.0
4510648,23388187,24,38.88058,-77.01607,2,1.0,1.0,1.0,69.0
4545885,22731277,16,38.90164,-77.00206,4,1.0,1.0,2.0,208.0
4552932,5688329,16,38.89784,-77.00262,4,1.0,1.0,1.0,165.0
4574014,23709660,16,38.89703,-76.99279,2,1.0,1.0,1.0,126.0
4579903,10292686,2,38.89034,-77.00329,4,1.0,0.0,2.0,145.0
4580159,10292686,2,38.89053,-77.00139,4,1.0,1.0,2.0,150.0
4604357,23859573,4,38.92264,-77.0455,4,1.0,2.0,2.0,195.0
4616068,17207062,16,38.89282,-77.00072,5,1.0,1.0,3.0,179.0
4621063,245078,13,38.90587,-77.04486,1,1.0,1.0,0.0,144.0
4634946,21569885,18,38.92372,-77.0289,5,2.0,2.0,4.0,90.0
4635196,24001443,2,38.88642,-77.0029,2,1.0,1.0,1.0,180.0
4708026,5243080,9,38.91223,-77.0242,4,1.0,1.0,1.0,200.0
4730124,24426199,1,38.91166,-77.01039,2,1.0,1.0,1.0,85.0
4730309,24426199,1,38.90987,-77.01164,3,1.0,1.0,1.0,139.0
4741982,24447822,18,38.93282,-77.03417,3,1.0,1.0,1.0,100.0
4742331,24479523,7,38.93485,-77.07267,3,,1.0,,
4758676,24554688,18,38.93505,-77.04363,4,1.0,1.0,2.0,106.0
4767589,14008393,28,38.9263,-76.9802,4,1.0,1.0,2.0,111.0
4801046,3615132,2,38.88559,-76.99939,2,1.0,1.0,1.0,161.0
4841217,24914253,2,38.88414,-76.99663,4,1.0,1.0,2.0,165.0
4848799,5356790,2,38.88974,-76.99921,2,1.0,1.0,1.0,135.0
4922023,12710712,16,38.89453,-76.99797,2,1.0,1.0,1.0,111.0
4924193,25363242,17,38.90832,-77.06227,2,1.0,1.0,1.0,95.0
4928685,22456488,14,38.8885,-76.91813,6,2.0,3.0,3.0,205.0
4936102,17633,17,38.90802,-77.05922,8,3.5,4.0,5.0,420.0
4943572,25447150,23,38.89854,-77.04913,2,1.0,1.0,1.0,94.0
4978586,21910309,11,38.96664,-77.0226,3,1.0,1.0,2.0,57.0
5012334,25759283,1,38.91262,-77.01613,6,2.0,2.0,2.0,175.0
5015395,22366497,5,38.9598,-77.03141,1,1.0,1.0,1.0,88.0
5018679,2726546,9,38.91282,-77.03093,4,1.0,1.0,1.0,135.0
5030765,25969674,16,38.90569,-77.00077,5,2.0,2.0,2.0,314.0
