listing_id,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm
3686,31,365,31,31,365,365,31.0,365.0
3943,1,1125,1,1,1125,1125,1.0,1125.0
4197,7,1125,7,7,1125,1125,7.0,1125.0
4529,30,1125,30,30,1125,1125,30.0,1125.0
5589,31,45,31,31,45,45,31.0,45.0
6165,31,365,31,31,365,365,31.0,365.0
7103,31,1125,31,31,46,1125,31.0,343.5
11785,31,730,31,31,730,730,31.0,730.0
12442,31,365,31,31,1125,1125,31.0,1125.0
14218,31,365,31,31,1125,1125,31.0,1125.0
17131,31,1125,31,31,1125,1125,31.0,1125.0
27682,120,360,120,120,360,360,120.0,360.0
32087,1,30,1,3,1125,1125,1.9,1125.0
52092,31,183,31,31,183,183,31.0,183.0
62122,5,150,4,5,150,150,5.0,150.0
93551,31,365,31,31,365,365,31.0,365.0
116951,31,1125,31,31,1125,1125,31.0,1125.0
153545,30,1120,30,30,1120,1120,30.0,1120.0
155859,31,31,31,31,1125,1125,31.0,1125.0
164069,1,1125,1,1,1125,1125,1.0,1125.0
174808,2,20,2,2,20,20,2.0,20.0
178395,31,730,31,31,730,730,31.0,730.0
196429,31,1125,31,31,1125,1125,31.0,1125.0
198685,31,365,31,31,365,365,31.0,365.0
201116,28,730,28,28,730,730,28.0,730.0
223203,2,3365,2,2,3365,3365,2.0,3365.0
223922,1,1125,1,1,1125,1125,1.0,1125.0
251611,2,3365,2,2,3365,3365,2.0,3365.0
251615,2,1825,2,2,1825,1825,2.0,1825.0
251619,2,1000,2,2,1000,1000,2.0,1000.0
262629,90,400,90,90,400,400,90.0,400.0
290001,2,14,2,2,14,14,2.0,14.0
296196,3,30,3,3,1125,1125,3.0,1125.0
299030,1,90,1,1,90,90,1.0,90.0
303723,31,180,31,31,180,180,31.0,180.0
306465,90,180,90,90,180,180,90.0,180.0
313405,1,90,1,1,90,90,1.0,90.0
339208,4,365,4,4,1125,1125,4.0,1125.0
355527,2,25,2,3,25,25,2.0,25.0
409582,2,1125,2,5,1125,1125,4.3,1125.0
437005,31,120,31,31,120,120,31.0,120.0
