neighbourhood_id,neighbourhood
0,Historic Anacostia
1,"Edgewood, Bloomingdale, Truxton Circle, Eckington"
2,"Capitol Hill, Lincoln Park"
3,"Eastland Gardens, Kenilworth"
4,"Ivy City, Arboretum, Trinidad, Carver Langston"
5,"Kalorama Heights, Adams Morgan, Lanier Heights"
6,"Brightwood Park, Crestwood, Petworth"
7,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir"
8,"Cathedral Heights, McLean Gardens, Glover Park"
9,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View"
10,"Union Station, Stanton Park, Kingman Park"
11,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill"
12,"Shaw, Logan Circle"
13,"Howard University, Le Droit Park, Cardozo/Shaw"
14,"Dupont Circle, Connecticut Avenue/K Street"
15,"Takoma, Brightwood, Manor Park"
16,"Congress Heights, Bellevue, Washington Highlands"
17,"Colonial Village, Shepherd Park, North Portal Estates"
18,"Capitol View, Marshall Heights, Benning Heights"
19,"Georgetown, Burleith/Hillandale"
20,"Douglas, Shipley Terrace"
21,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point"
22,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace"
23,"River Terrace, Benning, Greenway, Dupont Park"
24,"Friendship Heights, American University Park, Tenleytown"
25,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street"
26,"West End, Foggy Bottom, GWU"
27,"Hawthorne, Barnaby Woods, Chevy Chase"
28,"North Michigan Park, Michigan Park, University Heights"
29,"North Cleveland Park, Forest Hills, Van Ness"
30,"Mayfair, Hillbrook, Mahaning Heights"
31,"Brookland, Brentwood, Langdon"
32,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights"
33,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park"
34,"Near Southeast, Navy Yard"
35,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont"
36,"Sheridan, Barry Farm, Buena Vista"
37,"Woodland/Fort Stanton, Garfield Heights, Knox Hill"
38,"Woodridge, Fort Lincoln, Gateway"
