id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3686,Home in Washington · ★4.63 · 1 bedroom · 1 bed · 1 private bath,4645,Vita,,Historic Anacostia,38.86339,-76.98889,Private room,67,31,82,2023-03-08,0.53,1,277,3,
3943,Townhouse in Washington · ★4.83 · 1 bedroom · 1 bed · 1 private bath,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room,85,1,472,2023-05-24,2.75,5,301,31,
4197,Home in Washington · ★4.84 · 1 bedroom · 1 bed · 1.5 shared baths,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88719,-76.99472,Private room,87,7,53,2023-05-27,0.31,2,320,8,
4967,Home in Washington · ★4.74 · 1 bedroom · 1 bed · 3 baths,7086,Edward,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.91217,-76.99249,Private room,2500,1125,31,2016-09-22,0.20,3,365,0,
5589,Rental unit in Washington · ★4.54 · 1 bedroom · 1 bed · 1 bath,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,Entire home/apt,63,31,95,2020-03-05,0.57,1,77,0,
883653,"Townhouse in Washington, D.C. · ★4.91 · 4 bedrooms · 5 beds · 3.5 baths",1541121,Asa & Andrea,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9356,-77.04468,Entire home/apt,354,3,35,2022-10-10,0.28,1,2,2,Unhosted License: 5007262201000253
6165,Townhouse in Washington · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.95331,-77.03624,Private room,82,31,22,2022-07-16,0.14,2,350,1,
886283,Rental unit in Washington · ★4.63 · 1 bedroom · 1 bed · 1 bath,4698675,Katy,,"Friendship Heights, American University Park, Tenleytown",38.94492,-77.09234,Entire home/apt,100,30,55,2022-12-18,0.43,1,29,2,"Hosted License: 5007242201001442
Unhosted License: 5007262201001443"
7103,Guest suite in Washington · ★4.79 · 1 bedroom · 2 beds · 1 bath,17633,Charlotte,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,Entire home/apt,65,31,93,2022-06-03,0.58,32,284,0,
887461,Rental unit in Washington · ★4.47 · 1 bedroom · 1 bed · 2 shared baths,315148,John,,"Brightwood Park, Crestwood, Petworth",38.93788,-77.02313,Private room,39,31,17,2023-03-31,0.18,37,302,1,
11785,Rental unit in Washington · ★4.59 · 1 bedroom · 3 beds · 1 bath,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire home/apt,85,31,413,2022-06-27,2.53,4,323,2,
888029,Rental unit in Washington · ★4.50 · 1 bedroom · 1 bed · 2 shared baths,315148,John,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93664,-77.02298,Private room,35,31,16,2023-05-01,0.13,37,345,3,
153545,Home in Washington · ★4.63 · 1 bedroom · 1 bed · 2 shared baths,738459,Natasha,,"Brightwood Park, Crestwood, Petworth",38.94286,-77.04417,Private room,49,30,38,2022-06-21,0.27,5,311,1,
12442,Home in Washington · ★4.62 · 1 bedroom · 1 bed · 1.5 shared baths,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,Private room,52,31,116,2022-12-22,0.72,4,321,2,
889302,Condo in Washington · ★4.74 · 2 bedrooms · 2 beds · 1 bath,4717941,Joe,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91902,-77.04261,Entire home/apt,139,4,126,2023-02-21,0.99,1,0,10,Hosted License: 5007262201001060
13744,Rental unit in Washington · ★4.85 · 1 bedroom · 2 beds · 1 bath,53927,Victoria,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,125,4,35,2022-09-28,0.22,1,261,4,Hosted License: 5007242201000873
892183,Home in Washington · ★4.62 · 4 bedrooms · 5 beds · 2.5 baths,4280278,Sara,,"Shaw, Logan Circle",38.90746,-77.02716,Entire home/apt,564,3,229,2023-06-02,2.23,4,249,31,"Hosted License: 5007242201001758
Unhosted License: 5007262201001759"
893529,Home in Washington · 1 bedroom · 1 bed · 1 bath,4752493,Kristie,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91223,-77.01067,Private room,350,31,1,2013-06-15,0.01,1,365,0,
155859,Home in Washington · ★4.87 · 1 bedroom · 1 bed · 1 private bath,745305,Larry And Paulette,,"Takoma, Brightwood, Manor Park",38.96628,-77.0309,Private room,50,31,130,2019-10-28,0.90,2,87,0,
14218,Home in Washington · ★4.62 · 1 bedroom · 1 bed · 1.5 shared baths,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,Private room,45,31,104,2023-06-02,0.70,4,192,4,
898543,Townhouse in Washington · ★4.91 · 3 bedrooms · 3 beds · 2 baths,4795247,Diana,,"West End, Foggy Bottom, GWU",38.90153,-77.05434,Entire home/apt,165,31,168,2023-03-23,1.57,2,279,4,
17131,Home in Washington · ★4.66 · 1 bedroom · 1 bed · 1.5 shared baths,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,Private room,50,31,106,2023-03-23,0.66,4,330,3,
898544,Townhouse in Washington · ★4.91 · 3 bedrooms · 2 beds · 2 baths,4795247,Diana,,"West End, Foggy Bottom, GWU",38.8996,-77.05277,Entire home/apt,180,31,128,2022-09-16,1.13,2,330,1,
164069,Home in Washington · ★4.85 · 1 bedroom · 1 bed · 1 private bath,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91366,-77.00803,Private room,85,2,201,2023-03-19,1.38,5,0,4,
24712,Home in Washington · ★4.27 · 5 bedrooms · 8 beds · 3.5 baths,100727,Capital Vacation,,"Brightwood Park, Crestwood, Petworth",38.94771,-77.02368,Entire home/apt,269,4,184,2023-05-28,1.28,2,150,34,"Hosted License: 5007242201002072
Unhosted License: 5007262201002073"
26147,Home in Washington · ★4.50 · 1 bedroom · 1 bed · 1.5 shared baths,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.95528,-77.03463,Private room,55,31,9,2018-08-20,0.06,2,317,0,
174808,Home in Washington · ★4.94 · 1 bedroom · 1 bed · 1 bath,835242,Jeffrey,,Historic Anacostia,38.86432,-76.98749,Private room,95,2,72,2023-06-02,0.82,1,146,27,
900225,Home in Washington · ★4.72 · 2 bedrooms · 4 beds · 1.5 baths,3725621,Rosie & Donald,,"Brookland, Brentwood, Langdon",38.93268,-76.98863,Entire home/apt,176,31,41,2021-09-09,0.38,1,164,0,
27281,Rental unit in Washington · ★4.77 · 1 bedroom · 3 beds · 1 bath,117099,Stephen,,"Union Station, Stanton Park, Kingman Park",38.90053,-76.99133,Entire home/apt,645,31,15,2016-07-14,0.09,1,364,0,
902573,Home in Washington · ★4.74 · 1 bedroom · 1 bed · 1 bath,481929,Chris,,"Shaw, Logan Circle",38.91054,-77.02149,Private room,89,31,23,2016-11-16,0.19,4,342,0,
27682,Rental unit in Washington · ★5.0 · 1 bedroom · 1 bed · 1 bath,36646,Ellen,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,Entire home/apt,65,120,11,2022-08-13,0.07,2,351,1,
925318,Home in Washington · ★4.75 · 1 bedroom · 1 bed · 1 bath,4977214,Lisa,,"Brightwood Park, Crestwood, Petworth",38.9413,-77.03284,Private room,50,31,13,2022-08-08,0.10,1,341,1,
175608,Rental unit in Washington · ★4.30 · 2 bedrooms · 2 beds · 1 bath,50148,Adreinne,,"Shaw, Logan Circle",38.90756,-77.02212,Entire home/apt,80,31,188,2023-05-01,1.32,3,305,2,
32087,Bed and breakfast in Washington · ★4.86 · 1 bedroom · 1 bed · 1 private bath,138459,Lucia,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,208,1,16,2023-01-29,0.11,11,175,1,
178395,Home in Washington · 1 bedroom · 4 beds · 1.5 shared baths,852801,Allison,,"Takoma, Brightwood, Manor Park",38.96165,-77.01858,Private room,399,31,0,,,2,365,0,
196429,Guest suite in Washington · ★4.20 · Studio · 2 beds · 1 bath,956417,Julia,,"Takoma, Brightwood, Manor Park",38.96923,-77.02041,Entire home/apt,125,31,7,2022-04-01,0.06,1,358,0,
945426,Home in Washington · ★4.96 · 1 bedroom · 1 bed · 1 private bath,5121445,Rose,,"Friendship Heights, American University Park, Tenleytown",38.9604,-77.08253,Private room,92,2,422,2023-06-16,3.39,1,267,58,
973608,Rental unit in Washington · ★2.67 · 1 bedroom · 1 bed · 2 baths,315148,John,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91999,-77.01361,Private room,30,31,4,2016-05-12,0.04,37,307,0,
52092,Rental unit in Washington · ★4.35 · 2 bedrooms · 3 beds · 1 bath,50148,Adreinne,,"Shaw, Logan Circle",38.9077,-77.02431,Entire home/apt,80,31,196,2022-08-11,1.26,3,230,2,
62122,Home in Washington · ★4.85 · 2 bedrooms · 2 beds · 1 private bath,301975,Sarah (And JT),,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,Private room,100,5,122,2023-05-18,0.93,1,138,14,
997859,Rental unit in Washington · ★4.83 · 3 bedrooms · 3 beds · 2 baths,1662757,Gloria,,"Dupont Circle, Connecticut Avenue/K Street",38.9135,-77.04356,Entire home/apt,195,31,94,2023-02-01,0.76,4,330,2,
1003792,Home in Washington · ★4.44 · 4 bedrooms · 5 beds · 4 baths,4280278,Sara,,"Union Station, Stanton Park, Kingman Park",38.89455,-76.9911,Entire home/apt,500,31,56,2021-10-02,0.63,4,139,0,
198685,Townhouse in Washington · ★4.72 · 1 bedroom · 1 bed · 1.5 shared baths,966613,Robin,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93395,-77.01625,Private room,43,31,154,2022-10-27,1.07,3,319,4,
201116,Rental unit in Washington · ★4.49 · 1 bedroom · 2 beds · 1 bath,983611,Reed,,"Takoma, Brightwood, Manor Park",38.97474,-77.01997,Entire home/apt,90,31,221,2023-05-04,1.54,1,302,2,Hosted License: 5007242201001837
67483,Guest suite in Washington · ★4.50 · 1 bedroom · 1 bed · 1 bath,332901,Chris And Shawanda,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,Entire home/apt,99,31,162,2022-11-30,1.08,1,321,3,
204741,Condo in Washington · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,1005751,Denise,,"Congress Heights, Bellevue, Washington Highlands",38.82768,-76.99624,Private room,33,31,117,2023-02-28,0.82,2,125,2,
