id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3686,Home in Washington · ★4.64 · 1 bedroom · 1 bed · 1 private bath,4645,Vita,,Historic Anacostia,38.86339,-76.98889,Private room,67,31,83,2023-07-21,0.53,1,271,2,
3943,Townhouse in Washington · ★4.83 · 1 bedroom · 1 bed · 1 private bath,5059,Vasa,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,Private room,78,1,480,2023-09-05,2.75,5,334,37,Hosted License: 5007242201001033
4197,Home in Washington · ★4.85 · 1 bedroom · 1 bed · 1.5 shared baths,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88719,-76.99472,Private room,80,7,56,2023-08-27,0.32,2,331,10,Hosted License: 5007242201000749
4529,Home in Washington · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,5803,Bertina,,"Eastland Gardens, Kenilworth",38.90585,-76.94469,Private room,56,30,102,2019-07-05,0.59,1,179,0,Exempt
4967,Home in Washington · ★4.74 · 1 bedroom · 1 bed · 3 baths,7086,Edward,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.91217,-76.99249,Private room,2500,1125,31,2016-09-22,0.20,3,365,0,
5589,Rental unit in Washington · ★4.50 · 1 bedroom · 1 bed · 1 bath,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,Entire home/apt,59,31,96,2023-08-17,0.56,1,27,1,
6165,Townhouse in Washington · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.95331,-77.03624,Private room,82,31,23,2023-07-03,0.14,2,329,1,
7103,Guest suite in Washington · ★4.79 · 1 bedroom · 2 beds · 1 bath,17633,Charlotte,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,Entire home/apt,66,31,93,2022-06-03,0.57,32,306,0,
11785,Rental unit in Washington · ★4.59 · 1 bedroom · 3 beds · 1 bath,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire home/apt,85,31,412,2022-06-27,2.48,4,363,0,
12442,Home in Washington · ★4.61 · 1 bedroom · 1 bed · 1.5 shared baths,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,Private room,52,31,117,2023-07-01,0.71,4,316,2,
13744,Rental unit in Washington · ★4.85 · 1 bedroom · 2 beds · 1 bath,53927,Victoria,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,125,30,35,2022-09-28,0.21,1,303,3,Hosted License: 5007242201000873
14218,Home in Washington · ★4.62 · 1 bedroom · 1 bed · 1.5 shared baths,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,Private room,52,31,104,2023-06-02,0.69,4,263,3,
17131,Home in Washington · ★4.66 · 1 bedroom · 1 bed · 1.5 shared baths,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,Private room,52,31,106,2023-03-23,0.65,4,273,1,
24712,Home in Washington · ★4.27 · 5 bedrooms · 9 beds · 3.5 baths,100727,Capital Vacation,,"Brightwood Park, Crestwood, Petworth",38.94896,-77.02294,Entire home/apt,236,1,190,2023-08-21,1.30,3,157,33,Hosted License: 5007242201002072<br />Unhosted License: 5007262201002073
26147,Home in Washington · ★4.50 · 1 bedroom · 1 bed · 1.5 shared baths,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.95528,-77.03463,Private room,55,31,9,2018-08-20,0.06,2,329,0,
27281,Rental unit in Washington · ★4.77 · 1 bedroom · 3 beds · 1 bath,117099,Stephen,,"Union Station, Stanton Park, Kingman Park",38.90053,-76.99133,Entire home/apt,645,31,15,2016-07-14,0.09,1,364,0,
27682,Rental unit in Washington · ★5.0 · 1 bedroom · 1 bed · 1 bath,36646,Ellen,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9665,-77.00645,Entire home/apt,65,120,11,2022-08-13,0.07,2,315,0,
32087,Bed and breakfast in Washington · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,138459,Lucia,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,288,1,16,2023-01-29,0.11,11,129,1,Exempt
52092,Rental unit in Washington · ★4.35 · 2 bedrooms · 3 beds · 1 bath,50148,Adreinne,,"Shaw, Logan Circle",38.9077,-77.02431,Entire home/apt,80,31,196,2022-08-11,1.24,3,283,0,
62122,Home in Washington · ★4.85 · 2 bedrooms · 2 beds · 1 private bath,301975,Sarah (And JT),,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92238,-77.04709,Private room,95,5,125,2023-06-25,0.93,1,117,14,Hosted License: 5007242201000081
65024,Rental unit in Washington · ★4.09 · 1 bedroom · 1 bed · 1 shared bath,315148,John,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91717,-77.0085,Private room,35,31,11,2021-12-01,0.14,40,224,0,
67483,Guest suite in Washington · ★4.51 · 1 bedroom · 1 bed · 1 bath,332901,Chris And Shawanda,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934628,-77.029839,Entire home/apt,99,31,163,2023-08-01,1.06,1,287,2,
72454,Townhouse in Washington · ★4.33 · 4 bedrooms · 5 beds · 3.5 baths,100727,Capital Vacation,,"Brightwood Park, Crestwood, Petworth",38.94831559006181,-77.02275028832112,Entire home/apt,223,4,276,2023-09-04,1.81,3,150,40,Hosted License: 5007242201002072<br />Unhosted License: 5007262201002073
78264,Place to stay in Washington · ★4.69 · 1 bedroom · 2 beds · 1 bath,96456433,Jenna,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9148,-77.00931,Entire home/apt,93,1,48,2023-08-07,0.36,13,356,6,Hosted License: 5007242201000462<br />Unhosted License: 5007262201000463
79866,Home in Washington · ★4.89 · 1 bedroom · 1 bed,7086,Edward,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90493,-76.98643,Private room,2500,1000,10,2016-08-27,0.07,3,365,0,
79867,Home in Washington · ★4.90 · 1 bedroom · 1 bed,7086,Edward,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90618,-76.98498,Private room,2500,1125,10,2016-09-30,0.07,3,365,0,
93551,Townhouse in Washington · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,481929,Chris,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91433,-77.01876,Private room,82,31,103,2023-07-30,0.68,4,362,1,
